Institution Name,State,Applied,NYA,Accepted,Matric
University of Kansas School of Medicine,KS,10,10,0,0
University of Kentucky College of Medicine,KY,13,13,0,0
University of Louisville School of Medicine,KY,18,18,0,0
University of Maryland School of Medicine,MD,37,37,0,0
University of Massachusetts T.H. Chan School of Medicine,MA,35,33,2,0
University of Miami Leonard M. Miller School of Medicine,FL,86,84,2,0
University of Michigan Medical School,MI,66,66,0,0
University of Minnesota Medical School,MN,25,25,0,0
University of Missouri-Columbia School of Medicine,MO,14,14,0,0
University of Missouri-Kansas City School of Medicine,MO,6,6,0,0
University of Nebraska College of Medicine,NE,8,8,0,0
"University of Nevada, Reno School of Medicine",NV,15,15,0,0
University of New Mexico School of Medicine,NM,3,3,0,0
University of North Carolina at Chapel Hill School of Medicine,NC,29,29,0,0
University of North Dakota School of Medicine and Health Sciences,ND,3,3,0,0
University of Oklahoma College of Medicine,OK,6,6,0,0
University of Pittsburgh School of Medicine,PA,55,55,0,0
University of Rochester School of Medicine and Dentistry,NY,48,48,0,0
University of South Carolina School of Medicine Columbia,SC,7,7,0,0
University of South Carolina School of Medicine Greenville,SC,11,11,0,0
"University of South Dakota, Sanford School of Medicine",SD,1,1,0,0
University of Tennessee Health Science Center College of Medicine,TN,5,5,0,0
University of Texas Medical Branch,TX,1,1,0,0
University of Texas Medical School at Houston,TX,1,1,0,0
University of Texas Medical School at San Antonio,TX,2,2,0,0
University of Virginia School of Medicine,VA,25,23,2,0
University of Washington School of Medicine,WA,68,68,0,0
University of Wisconsin School of Medicine and Public Health,WI,40,39,1,0
Vanderbilt University School of Medicine,TN,33,32,1,0
Virginia Commonwealth University School of Medicine,VA,62,62,0,0
Virginia Tech Carilion School of Medicine,VA,51,50,1,0
Wake Forest University School of Medicine,NC,85,84,1,0
Washington State University Elson S. Floyd College of Medicine,WA,15,15,0,0
Washington University in St. Louis School of Medicine,MO,29,29,0,0
Wayne State University School of Medicine,MI,66,64,2,0
Weill Cornell Medicine,NY,47,47,0,0
West Virginia University School of Medicine,WV,26,25,1,0
Western Michigan University Homer Stryker M.D. School of Medicine,MI,39,39,0,0
Wright State University Boonshoft School of Medicine,OH,31,31,0,0
Yale School of Medicine,CT,44,44,0,0
