Institution Name,State,Applied,NYA,Accepted,Matric
University of Kansas School of Medicine,KS,9,9,0,0
University of Kentucky College of Medicine,KY,11,11,0,0
University of Louisville School of Medicine,KY,15,15,0,0
University of Maryland School of Medicine,MD,33,33,0,0
University of Massachusetts T.H. Chan School of Medicine,MA,30,27,3,0
University of Miami Leonard M. Miller School of Medicine,FL,80,78,2,0
University of Michigan Medical School,MI,63,63,0,0
University of Minnesota Medical School,MN,23,23,0,0
University of Missouri-Columbia School of Medicine,MO,12,11,1,0
University of Missouri-Kansas City School of Medicine,MO,5,5,0,0
University of Nebraska College of Medicine,NE,8,8,0,0
"University of Nevada, Reno School of Medicine",NV,14,14,0,0
University of New Mexico School of Medicine,NM,3,3,0,0
University of North Carolina at Chapel Hill School of Medicine,NC,27,26,1,0
University of North Dakota School of Medicine and Health Sciences,ND,3,3,0,0
University of Oklahoma College of Medicine,OK,3,3,0,0
University of Pittsburgh School of Medicine,PA,51,51,0,0
University of Rochester School of Medicine and Dentistry,NY,45,45,0,0
University of South Carolina School of Medicine Columbia,SC,7,7,0,0
University of South Carolina School of Medicine Greenville,SC,10,10,0,0
"University of South Dakota, Sanford School of Medicine",SD,1,1,0,0
University of Tennessee Health Science Center College of Medicine,TN,4,4,0,0
University of Texas Medical Branch,TX,1,1,0,0
University of Texas Medical School at Houston,TX,1,1,0,0
University of Texas Medical School at San Antonio,TX,2,2,0,0
University of Virginia School of Medicine,VA,23,21,2,0
University of Washington School of Medicine,WA,60,60,0,0
University of Wisconsin School of Medicine and Public Health,WI,36,35,1,0
Vanderbilt University School of Medicine,TN,30,29,1,0
Virginia Commonwealth University School of Medicine,VA,58,55,3,0
Virginia Tech Carilion School of Medicine,VA,46,45,1,0
Wake Forest University School of Medicine,NC,79,78,1,0
Washington State University Elson S. Floyd College of Medicine,WA,14,14,0,0
Washington University in St. Louis School of Medicine,MO,26,26,0,0
Wayne State University School of Medicine,MI,62,60,2,0
Weill Cornell Medicine,NY,43,43,0,0
West Virginia University School of Medicine,WV,23,22,1,0
Western Michigan University Homer Stryker M.D. School of Medicine,MI,36,33,3,0
Wright State University Boonshoft School of Medicine,OH,23,23,0,0
Yale School of Medicine,CT,41,41,0,0
