Institution Name,State,Applied,NYA,Accepted,Matric
Pennsylvania State University College of Medicine,PA,76,76,0,0
Perelman School of Medicine at the University of Pennsylvania,PA,30,30,0,0
Sidney Kimmel Medical College at Thomas Jefferson University,PA,90,88,0,2
University of Pittsburgh School of Medicine,PA,36,34,2,0
Ponce Health Sciences University School of Medicine,PR,8,8,0,0
San Juan Bautista School of Medicine,PR,4,4,0,0
Universidad Central del Caribe School of Medicine,PR,3,3,0,0
University of Puerto Rico School of Medicine,PR,2,2,0,0
The Warren Alpert Medical School of Brown University,RI,62,62,0,0
Medical University of South Carolina College of Medicine,SC,7,7,0,0
University of South Carolina School of Medicine Columbia,SC,9,9,0,0
University of South Carolina School of Medicine Greenville,SC,24,24,0,0
"University of South Dakota, Sanford School of Medicine",SD,1,1,0,0
East Tennessee State University James H. Quillen College of Medicine,TN,8,8,0,0
Meharry Medical College,TN,34,33,1,0
University of Tennessee Health Science Center College of Medicine,TN,1,1,0,0
Vanderbilt University School of Medicine,TN,34,34,0,0
Anne Burnett Marion School of Medicine at TCU,TX,46,44,1,1
Baylor College of Medicine,TX,1,1,0,0
Baylor College of Medicine,TX,6,6,0,0
Texas A&M Uni. System HSC Col. of Medicine,TX,4,4,0,0
Texas A&M University School of Medicine,TX,2,2,0,0
Texas Tech Univ. Hlth. Sci. Ctr. Sch. of Medicine,TX,3,3,0,0
Texas Tech University Health Sciences Center Paul L. Foster School of Medicine,TX,3,3,0,0
UT Southwestern,TX,5,5,0,0
University of Houston Tilman J. Fertitta Family College of Medicine,TX,3,3,0,0
University of Texas Medical Branch,TX,4,4,0,0
University of Texas Medical School at Houston,TX,6,6,0,0
University of Texas Medical School at San Antonio,TX,5,5,0,0
University of Texas Rio Grande Valley School of Medicine,TX,3,3,0,0
University of Texas at Austin Dell Medical School,TX,4,4,0,0
Spencer Fox Eccles School of Medicine at the University of Utah,UT,28,28,0,0
Eastern Virginia Medical School,VA,70,68,0,2
University of Virginia School of Medicine,VA,16,16,0,0
Virginia Commonwealth University School of Medicine,VA,60,56,3,1
Virginia Tech Carilion School of Medicine,VA,60,58,0,2
"Robert Larner, M.D., College of Medicine at the University of Vermont",VT,86,85,0,1
University of Washington School of Medicine,WA,62,62,0,0
Washington State University Elson S. Floyd College of Medicine,WA,6,5,1,0
Medical College of Wisconsin,WI,82,80,1,1
University of Wisconsin School of Medicine and Public Health,WI,30,30,0,0
Marshall University Joan C. Edwards School of Medicine,WV,7,7,0,0
West Virginia University School of Medicine,WV,28,28,0,0
,,,,,
,,,,,
,,,,106,91
